runtime,#high-level expanded,#high-level generated,#low-level expanded,#low-level generated,solution cost,min f value,root g value,root f value,#adopt bypasses,standard conflicts,rectangle conflicts,corridor conflicts,target conflicts,mutex conflicts,#merge MDDs,#solve 2 agents,#memoization,runtime of building heuristic graph,runtime of solving MVC,runtime of detecting conflicts,runtime of rectangle conflicts,runtime of corridor conflicts,runtime of mutex conflicts,runtime of building MDDs,runtime of building constraint tables,runtime of building CATs,runtime of path finding,runtime of generating child nodes,preprocessing runtime,solver name,instance name,number of agents
0.004958,9,18,957,3802,346,346,346,346,6,2,1,0,5,0,0,0,0,0,0,0.000127,0,0,0,0,1.9e-05,5.7e-05,0.000825,0.000935,0.003222,WDG+GR+GC+T+BP with AStarand Decomp,scens/empty-16-16-even-9.scen:,30
0.00036,2,4,200,895,159,159,159,159,3,0,0,0,1,0,0,0,0,0,3e-06,1.3e-05,1.6e-05,0,0,9.4e-05,3e-06,4e-06,8e-05,8.8e-05,0.000777,CG+GR+GC+T+BP with AStarand Decomp,scens/empty-16-16-even-9.scen:,15
0.000321,4,8,162,608,56,56,56,56,4,1,0,0,2,0,0,0,0,1e-06,1e-06,1.2e-05,0,0,0,7e-06,5e-06,5e-06,0.000109,0.000124,0.000193,CG+GR+DC+T+BP with AStarand Decomp,scens/empty-8-8-even-21.scen:,10
0.000302,1,4,47,202,106,106,106,106,0,0,0,0,1,0,0,1,0,0.00013,2e-06,6e-06,0,1e-06,0,7.3e-05,1e-06,3e-06,4.2e-05,4.7e-05,0.00064,WDG+GR+DC+T+BP with AStarand Decomp,scens/empty-16-16-even-9.scen:,10
0.004334,15,30,659,2190,105,105,102,104,14,4,3,0,7,0,0,31,1,0.001634,3e-05,6.7e-05,4.7e-05,4e-06,0,0.000236,2.5e-05,3.6e-05,0.00064,0.000752,0.000405,WDG+GR+GC+T+BP with AStarand Decomp,scens/empty-8-8-even-2.scen:,20
8.7e-05,1,4,40,154,36,36,36,36,0,1,0,0,0,0,0,0,0,0,1e-06,3e-06,6e-06,1e-06,0,2e-05,0,2e-06,2.4e-05,2.7e-05,7.2e-05,CG+GR+GC+T+BP with AStarand Decomp,scens/empty-8-8-even-21.scen:,5
9.2e-05,0,1,51,208,46,46,46,46,0,0,0,0,0,0,0,0,0,0,0,1e-06,0,0,0,0,0,0,0,0,0.000268,WDG+GR+GC+T+BP with AStar,scens/empty-16-16-even-9.scen:,5
0.001812,12,24,618,2525,217,217,215,215,2,4,0,1,6,0,0,0,0,1.7e-05,3.4e-05,6.4e-05,4.8e-05,1.7e-05,0,0.000343,1.2e-05,3.9e-05,0.000745,0.000814,0.001115,CG+GR+DC+T+BP with AStarand Decomp,scens/empty-16-16-even-9.scen:,20
0.010112,13,25,1339,5167,397,397,397,397,8,3,2,0,7,0,0,0,0,0,0,0.000196,0,0,0,0,2.8e-05,9.4e-05,0.001279,0.001467,0.003771,WDG+GR+DC+T+BP with AStarand Decomp,scens/empty-16-16-even-9.scen:,35
0.006915,30,59,3349,12434,448,448,448,448,21,11,5,0,13,0,0,0,0,0,0,0.000302,0,0,0,0,6.5e-05,0.000163,0.002911,0.003219,0.002718,CG+GR+GC+T+BP with AStarand Decomp,scens/empty-16-16-even-9.scen:,40
