runtime,#high-level expanded,#high-level generated,#low-level expanded,#low-level generated,solution cost,min f value,root g value,root f value,#adopt bypasses,standard conflicts,rectangle conflicts,corridor conflicts,target conflicts,mutex conflicts,#merge MDDs,#solve 2 agents,#memoization,runtime of building heuristic graph,runtime of solving MVC,runtime of detecting conflicts,runtime of rectangle conflicts,runtime of corridor conflicts,runtime of mutex conflicts,runtime of building MDDs,runtime of building constraint tables,runtime of building CATs,runtime of path finding,runtime of generating child nodes,preprocessing runtime,solver name,instance name,number of agents,decompTime,MaxCompRuntime
0.00552,2,5,2435,8290,976,976,973,975,0,1,0,1,0,0,0,0,0,0,8e-06,3.9e-05,2.8e-05,0.000847,0,0.001241,2e-06,0.000104,0.001255,0.001274,0.007697,CG+GR+GC+T+BP with AStar,scens/den312d-even-15.scen:,15,00
0.000439,0,2,237,899,272,272,272,272,0,0,0,0,0,0,0,0,0,0,0,4e-06,0,0,0,0,0,0,0,0,0.004664,CG+GR+DC+T+BP with AStarand Decomp,scens/den312d-even-1.scen:,5,390.000434
0.003134,2,3,713,2630,293,293,291,293,1,0,0,1,0,0,0,2,0,0.001449,3e-06,9e-06,0,0.00011,0,0.000305,2e-06,0.00011,0.000705,0.000715,0.002559,WDG+GR+GC+T+BP with AStarand Decomp,scens/den312d-even-22.scen:,5,110
0.000252,0,2,148,480,462,462,462,462,0,0,0,0,0,0,0,0,0,0,0,1e-05,0,0,0,0,0,0,0,0,0.005996,CG+GR+GC+T+BP with AStarand Decomp,scens/den312d-even-9.scen:,10,400.00024
0.000494,0,1,277,1085,272,272,272,272,0,0,0,0,0,0,0,0,0,0,0,3e-06,0,0,0,0,0,0,0,0,0.00252,CG+GR+DC+T+BP with AStarand Decomp,scens/den312d-even-1.scen:,5,100
0.002108,2,3,713,2630,293,293,291,293,1,0,0,1,0,0,0,2,0,0.001113,1e-06,5e-06,0,6.4e-05,0,0.00017,0,7.5e-05,0.000418,0.000426,0.00233,WDG+GR+GC+T+BP with AStarand Decomp,scens/den312d-even-22.scen:,5,100
0.000617,0,1,472,2025,462,462,462,462,0,0,0,0,0,0,0,0,0,0,0,8e-06,0,0,0,0,0,0,0,0,0.003353,CG+GR+GC+T+BP with AStar,scens/den312d-even-9.scen:,10,00
0.000505,0,1,277,1085,272,272,272,272,0,0,0,0,0,0,0,0,0,0,0,3e-06,0,0,0,0,0,0,0,0,0.002334,CG+GR+DC+T+BP with AStarand Decomp,scens/den312d-even-1.scen:,5,110
0.052983,30,60,23103,72183,2300,2300,2300,2300,15,15,0,13,1,0,0,0,0,0,0,0.00099,0,0,0,0,6.2e-05,0.002213,0.025632,0.026623,0.028138,CG+GR+GC+T+BP with AStarand Decomp,scens/den312d-even-3.scen:,35,640.052876
0.003121,2,3,713,2630,293,293,291,293,1,0,0,1,0,0,0,2,0,0.001464,2e-06,8e-06,0,0.000103,0,0.000286,2e-06,0.000109,0.000709,0.000718,0.002479,WDG+GR+GC+T+BP with AStar,scens/den312d-even-22.scen:,5,00
