runtime,#high-level expanded,#high-level generated,#low-level expanded,#low-level generated,solution cost,min f value,root g value,root f value,#adopt bypasses,standard conflicts,rectangle conflicts,corridor conflicts,target conflicts,mutex conflicts,#merge MDDs,#solve 2 agents,#memoization,runtime of building heuristic graph,runtime of solving MVC,runtime of detecting conflicts,runtime of rectangle conflicts,runtime of corridor conflicts,runtime of mutex conflicts,runtime of building MDDs,runtime of building constraint tables,runtime of building CATs,runtime of path finding,runtime of generating child nodes,preprocessing runtime,solver name,instance name,number of agents,decompTime
0.01197,3,6,2346,9144,1296,1296,1296,1296,1,1,0,1,0,0,0,0,0,0,0,8.8e-05,0,0,0,0,2e-06,9.7e-05,0.000776,0.000802,0.012786,WDG+GR+GC+T+BP with AStarand Decomp,scens/den312d-even-15.scen:,20,12
0.020999,8,14,8448,25066,1322,1322,1310,1315,4,0,0,3,3,0,0,0,0,0.000106,2.3e-05,0.000217,4e-05,0.001581,0,0.002474,1.6e-05,0.000795,0.011044,0.011379,0.017262,CG+GR+DC+T+BP with AStarand Decomp,scens/den312d-even-4.scen:,20,13
0.022313,5,8,3412,12680,1618,1618,1616,1618,6,0,1,2,0,0,0,10,0,0.007093,1.7e-05,0.000227,0.000114,0.000257,0,0.00126,1.7e-05,0.000484,0.003781,0.003957,0.022732,WDG+GR+DC+T+BP with AStarand Decomp,scens/den312d-even-17.scen:,30,14
0.053375,43,84,28092,79522,1456,1456,1447,1452,8,19,2,17,3,0,0,0,0,0.000296,0.000118,0.000599,0.0012,0.001413,0,0.003113,9.3e-05,0.002307,0.031416,0.032073,0.021117,CG+GR+GC+T+BP with AStarand Decomp,scens/den312d-even-8.scen:,25,14
0.015424,7,12,6391,18520,1322,1322,1318,1320,2,0,0,3,2,0,0,0,0,8.9e-05,1.3e-05,0.000152,0,0.000564,0,0.001178,1e-05,0.000544,0.008044,0.008296,0.016053,CG+GR+DC+T+BP with AStarand Decomp,scens/den312d-even-4.scen:,20,19
0.016515,5,8,3703,13440,1618,1618,1616,1618,7,0,1,2,0,0,0,12,0,0.005947,1.7e-05,0.000181,0.00013,0.000174,0,0.001042,1.4e-05,0.000468,0.003673,0.003855,0.013018,WDG+GR+DC+T+BP with AStarand Decomp,scens/den312d-even-17.scen:,30,14
0.039979,6,10,4349,14376,1296,1296,1293,1296,5,2,0,2,0,0,0,12,0,0.016213,9e-06,0.000137,0.000156,0.000865,0,0.001705,7e-06,0.000414,0.003919,0.004008,0.011275,WDG+GR+GC+T+BP with AStarand Decomp,scens/den312d-even-15.scen:,20,20
0.073415,25,49,21433,64735,2448,2448,2437,2442,5,0,1,20,3,0,0,0,0,0.000587,0.000295,0.000817,0.003078,0.028503,0,0.012059,5.6e-05,0.001616,0.020475,0.021288,0.018542,CG+GR+DC+T+BP with AStar,scens/den312d-even-25.scen:,35,0
0.015361,4,7,3774,14215,1616,1616,1613,1616,2,0,1,2,0,0,0,7,0,0.008532,2.8e-05,0.000139,0.000211,0.000687,0,0.001072,9e-06,0.000217,0.002139,0.002247,0.010747,WDG+GR+DC+T+BP with AStar,scens/den312d-even-17.scen:,30,0
0.013857,6,10,5868,17432,1322,1322,1318,1320,2,0,0,3,1,0,0,0,0,8.7e-05,1.4e-05,0.000152,4.4e-05,0.000583,0,0.001071,1e-05,0.000446,0.007455,0.007653,0.014697,CG+GR+DC+T+BP with AStarand Decomp,scens/den312d-even-4.scen:,20,14
0.040019,6,10,4349,14376,1296,1296,1293,1296,5,2,0,2,0,0,0,12,0,0.019248,1.5e-05,0.000163,0.00018,0.000944,0,0.001892,9e-06,0.000512,0.005104,0.00522,0.011423,WDG+GR+GC+T+BP with AStarand Decomp,scens/den312d-even-15.scen:,20,14
0.014398,6,12,5744,17169,1322,1322,1318,1320,2,0,0,3,2,0,0,0,0,8.6e-05,1.4e-05,0.000147,4.6e-05,0.000602,0,0.001116,9e-06,0.000511,0.007874,0.008075,0.016513,CG+GR+DC+T+BP with AStarand Decomp,scens/den312d-even-4.scen:,20,20
0.07364,43,84,28092,79522,1456,1456,1447,1452,8,19,2,17,3,0,0,0,0,0.000464,0.000193,0.00086,0.002103,0.002553,0,0.005782,0.000103,0.003035,0.042598,0.043495,0.021557,CG+GR+GC+T+BP with AStarand Decomp,scens/den312d-even-8.scen:,25,18
0.017062,7,13,7596,22820,1322,1322,1310,1315,1,1,0,3,2,0,0,0,0,0.000121,3.2e-05,0.000168,0,0.001725,0,0.002412,9e-06,0.000647,0.009008,0.009239,0.010587,CG+GR+DC+T+BP with AStar,scens/den312d-even-4.scen:,20,0
0.021849,5,8,2225,8410,1296,1296,1295,1296,3,2,0,1,0,0,0,3,0,0.001433,7e-06,0.000136,3.2e-05,0,0,0.000585,6e-06,0.000288,0.002055,0.002121,0.018096,WDG+GR+GC+T+BP with AStarand Decomp,scens/den312d-even-15.scen:,20,23
0.010105,6,12,3616,13057,1186,1186,1186,1186,3,1,0,2,2,0,0,0,0,0,0,0.000179,0,0,0,0,1.1e-05,0.000336,0.003683,0.003799,0.019668,CG+GR+DC+T+BP with AStarand Decomp,scens/den312d-even-24.scen:,20,22
0.078577,6,12,12171,31443,1621,1621,1621,1621,4,0,0,2,3,0,0,0,0,0,0,0.000418,0,0,0,0,2e-05,0.001357,0.015656,0.015922,0.032843,WDG+GR+DC+T+BP with AStarand Decomp,scens/den312d-even-10.scen:,30,18
0.009594,8,14,3503,12473,1186,1186,1186,1186,2,2,0,2,2,0,0,0,0,4e-06,6e-06,0.000147,6.6e-05,0,0,0.000611,1e-05,0.000369,0.003761,0.003863,0.017316,CG+GR+DC+T+BP with AStarand Decomp,scens/den312d-even-24.scen:,20,23
0.022219,5,8,2225,8410,1296,1296,1295,1296,3,2,0,1,0,0,0,3,0,0.001478,8e-06,0.000121,3.2e-05,0,0,0.000616,7e-06,0.000283,0.002039,0.002098,0.016314,WDG+GR+GC+T+BP with AStarand Decomp,scens/den312d-even-15.scen:,20,20
0.064851,39,76,25490,73265,1456,1456,1447,1452,11,16,2,16,3,0,0,0,0,0.00053,0.000178,0.000785,0.002053,0.003628,0,0.005837,9.6e-05,0.002914,0.03857,0.0394,0.020825,CG+GR+GC+T+BP with AStarand Decomp,scens/den312d-even-8.scen:,25,23
0.011884,9,18,4466,15406,1186,1186,1184,1185,3,2,0,3,3,0,0,0,0,6e-06,6e-06,0.000179,6.9e-05,0,0,0.000597,1.2e-05,0.000433,0.005064,0.005208,0.01394,CG+GR+DC+T+BP with AStarand Decomp,scens/den312d-even-24.scen:,20,19
0.020035,3,5,2346,9144,1296,1296,1293,1296,1,1,0,1,0,0,0,6,0,0.01342,1.8e-05,8.5e-05,0,0.000978,0,0.001068,3e-06,0.000161,0.001414,0.001459,0.011061,WDG+GR+GC+T+BP with AStar,scens/den312d-even-15.scen:,20,0
0.026027,20,39,13663,40931,1456,1456,1447,1452,6,8,1,8,2,0,0,0,0,0.000334,0.000126,0.000375,0.000751,0.002657,0,0.004229,3.7e-05,0.000967,0.012892,0.013253,0.008356,CG+GR+GC+T+BP with AStar,scens/den312d-even-8.scen:,25,0
0.011699,9,18,4466,15406,1186,1186,1184,1185,3,2,0,3,3,0,0,0,0,8e-06,8e-06,0.000176,8e-05,4e-06,0,0.000729,1.1e-05,0.000445,0.005246,0.005395,0.016123,CG+GR+DC+T+BP with AStarand Decomp,scens/den312d-even-24.scen:,20,20
0.008285,9,18,4466,15406,1186,1186,1184,1185,3,2,0,3,3,0,0,0,0,5e-06,4e-06,0.00013,5.6e-05,1e-06,0,0.000385,1.1e-05,0.000312,0.003534,0.003639,0.014804,CG+GR+DC+T+BP with AStarand Decomp,scens/den312d-even-24.scen:,20,17
0.0662,8,14,11344,29369,1621,1621,1619,1621,4,0,0,3,3,0,0,4,0,0.003207,1e-05,0.00033,0,9.2e-05,0,0.001448,1.5e-05,0.001127,0.012701,0.012905,0.023997,WDG+GR+DC+T+BP with AStarand Decomp,scens/den312d-even-10.scen:,30,17
0.293301,135,268,89814,236165,2829,2829,2829,2829,45,37,27,12,57,0,0,3,0,0.003867,2.2e-05,0.004862,6.3e-05,1e-06,0,0.002671,0.000709,0.01343,0.135568,0.141262,0.047156,WDG+GR+GC+T+BP with AStarand Decomp,scens/den312d-even-9.scen:,50,33
