runtime,#high-level expanded,#high-level generated,#low-level expanded,#low-level generated,solution cost,min f value,root g value,root f value,#adopt bypasses,standard conflicts,rectangle conflicts,corridor conflicts,target conflicts,mutex conflicts,#merge MDDs,#solve 2 agents,#memoization,runtime of building heuristic graph,runtime of solving MVC,runtime of detecting conflicts,runtime of rectangle conflicts,runtime of corridor conflicts,runtime of mutex conflicts,runtime of building MDDs,runtime of building constraint tables,runtime of building CATs,runtime of path finding,runtime of generating child nodes,preprocessing runtime,solver name,instance name,number of agents,decompTime
0.254542,233,466,147222,425384,1870,1870,1870,1870,69,123,0,108,1,0,0,0,0,0,0,0.004422,0,0,0,0,0.000365,0.01566,0.166692,0.171942,0.014756,CG+GR+GC+T+BP with AStarand Decomp,scens/den312d-even-18.scen:,25,12
0.073822,6,11,12171,31443,1621,1621,1603,1609,4,0,0,2,3,0,0,26,0,0.045277,5.5e-05,0.000285,6.8e-05,0.004914,0,0.005166,1.4e-05,0.001211,0.013423,0.013652,0.015812,WDG+GR+DC+T+BP with AStar,scens/den312d-even-10.scen:,30,0
0.100134,7,14,8034,23402,1361,1361,1361,1361,4,1,1,3,1,0,0,0,0,0,0,0.000234,0,0,0,0,2.5e-05,0.000869,0.009268,0.009559,0.019174,WDG+GR+GC+T+BP with AStarand Decomp,scens/den312d-even-22.scen:,20,15
0.01514,6,10,5311,17801,1127,1127,1125,1126,8,1,0,3,0,0,0,0,0,6.4e-05,1.5e-05,0.000191,0.000182,0.001026,0,0.002091,9e-06,0.000451,0.006728,0.006907,0.014426,CG+GR+DC+T+BP with AStarand Decomp,scens/den312d-even-17.scen:,20,14
0.004698,3,5,2950,10739,1127,1127,1125,1126,2,0,0,2,0,0,0,0,0,4.9e-05,9e-06,6.2e-05,1.2e-05,0.000596,0,0.000796,1e-06,7.4e-05,0.001529,0.001617,0.006392,CG+GR+DC+T+BP with AStar,scens/den312d-even-17.scen:,20,0
0.15931,41,82,70535,158993,2732,2732,2732,2732,22,14,6,7,13,0,0,0,0,0,0,0.002496,0,0,0,0,0.00021,0.006156,0.093039,0.095666,0.040189,CG+GR+GC+T+BP with AStarand Decomp,scens/den312d-even-2.scen:,40,19
0.019432,6,14,9336,21999,1173,1173,1173,1173,0,0,0,3,3,0,0,0,0,0,0,0.000189,0,0,0,0,1e-05,0.000713,0.011365,0.011472,0.021521,CG+GR+DC+T+BP with AStarand Decomp,scens/den312d-even-10.scen:,20,17
0.064752,7,13,6744,20798,1361,1361,1352,1359,3,1,1,3,1,0,0,34,0,0.049899,6e-05,0.000137,0.000334,0.003796,0,0.003298,1.6e-05,0.000567,0.004857,0.004997,0.007136,WDG+GR+GC+T+BP with AStar,scens/den312d-even-22.scen:,20,0
0.016112,5,10,6686,16768,1173,1173,1171,1172,2,0,0,2,2,0,0,0,0,1.8e-05,8e-06,0.000147,2e-05,9.8e-05,0,0.000698,7e-06,0.000561,0.008063,0.008153,0.018091,CG+GR+DC+T+BP with AStarand Decomp,scens/den312d-even-10.scen:,20,18
0.100571,16,32,15442,44562,1776,1776,1776,1776,5,7,6,2,0,0,0,0,0,0,0,0.000645,0,0,0,0,0.000157,0.001889,0.020496,0.021067,0.03081,WDG+GR+DC+T+BP with AStarand Decomp,scens/den312d-even-6.scen:,30,16
0.026087,6,12,6836,20705,1322,1322,1322,1322,1,1,0,2,2,0,0,0,0,0,0,0.000131,0,0,0,0,6e-06,0.000465,0.00483,0.004986,0.011518,WDG+GR+GC+T+BP with AStarand Decomp,scens/den312d-even-4.scen:,20,13
0.015948,6,13,9336,21999,1173,1173,1161,1163,0,0,0,3,3,0,0,0,0,0.000119,2.4e-05,0.000117,0,0.00217,0,0.00131,1.1e-05,0.000667,0.010419,0.010535,0.006139,CG+GR+DC+T+BP with AStar,scens/den312d-even-10.scen:,20,0
0.318056,37,73,51891,125793,2022,2022,2008,2017,23,25,3,4,4,0,0,89,25,0.204726,0.000467,0.001507,0.001948,0.016249,0,0.019456,0.000116,0.00409,0.066339,0.070699,0.010856,WDG+GR+GC+T+BP with AStar,scens/den312d-even-20.scen:,35,0
0.008148,2,4,2868,9915,1192,1192,1192,1192,2,0,0,1,0,0,0,0,0,0,0,0.000142,0,0,0,0,3e-06,0.000142,0.002288,0.002397,0.02187,CG+GR+DC+T+BP with AStarand Decomp,scens/den312d-even-6.scen:,20,15
0.448368,39,76,60453,152843,2925,2925,2925,2925,35,19,1,12,5,0,0,8,0,0.00595,2.3e-05,0.002654,0,2e-06,0,0.002849,0.00015,0.008406,0.086106,0.08881,0.03271,WDG+GR+DC+T+BP with AStarand Decomp,scens/den312d-even-21.scen:,45,14
0.466222,246,493,215498,542289,2165,2165,2148,2154,96,142,0,82,22,0,0,0,0,0.006597,0.002292,0.006158,0.007019,0.103573,0,0.07591,0.00053,0.019146,0.253093,0.260365,0.018447,CG+GR+DC+T+BP with AStar,scens/den312d-even-1.scen:,35,0
0.045434,8,14,8009,24537,1322,1322,1310,1320,5,0,0,2,4,0,0,22,0,0.017419,4e-05,0.000151,5.2e-05,0.000993,0,0.00123,8e-06,0.000639,0.006427,0.006699,0.010368,WDG+GR+GC+T+BP with AStarand Decomp,scens/den312d-even-4.scen:,20,12
0.181979,166,330,100931,289873,1871,1871,1869,1870,45,85,0,78,1,0,0,0,0,6.2e-05,9e-06,0.002671,0,0.000286,0,0.00197,0.000239,0.00976,0.109637,0.112821,0.024045,CG+GR+GC+T+BP with AStarand Decomp,scens/den312d-even-18.scen:,25,20
0.009183,4,6,3563,11412,1192,1192,1190,1191,4,0,0,2,0,0,0,0,0,7e-06,5e-06,0.000102,2.3e-05,0.000447,0,0.000828,7e-06,0.000169,0.003334,0.003515,0.017916,CG+GR+DC+T+BP with AStarand Decomp,scens/den312d-even-6.scen:,20,15
0.004381,2,3,2868,9915,1192,1192,1190,1191,2,0,0,1,0,0,0,0,0,7e-06,8e-06,5e-05,1.4e-05,0.000416,0,0.00095,3e-06,7.9e-05,0.001303,0.001373,0.006086,CG+GR+DC+T+BP with AStar,scens/den312d-even-6.scen:,20,0
0.166051,40,79,77823,167000,2732,2732,2702,2708,25,11,6,7,15,0,0,0,0,0.001945,0.000683,0.0024,0.003726,0.007588,0,0.038429,0.000199,0.00586,0.099948,0.103072,0.020831,CG+GR+GC+T+BP with AStar,scens/den312d-even-2.scen:,40,0
0.046523,5,9,7152,21180,1322,1322,1310,1320,2,0,0,2,2,0,0,19,0,0.029331,6e-05,0.000174,8.4e-05,0.001607,0,0.003559,1.1e-05,0.00063,0.007916,0.008106,0.010753,WDG+GR+GC+T+BP with AStar,scens/den312d-even-4.scen:,20,0
0.039097,14,30,21402,48994,1250,1250,1250,1250,2,6,1,7,0,0,0,0,0,0,0,0.000294,0,0,0,0,1.7e-05,0.000516,0.019168,0.020227,0.011951,CG+GR+DC+T+BP with AStarand Decomp,scens/den312d-even-20.scen:,20,16
0.023167,6,12,3623,13042,1186,1186,1186,1186,3,1,0,2,2,0,0,0,0,0,0,0.000124,0,0,0,0,7e-06,0.000284,0.002258,0.002358,0.019136,WDG+GR+GC+T+BP with AStarand Decomp,scens/den312d-even-24.scen:,20,16
0.05455,18,38,24773,56574,1250,1250,1249,1250,5,8,3,7,0,0,0,0,0,1e-06,4e-06,0.000301,6.7e-05,0,0,0.00013,3.2e-05,0.0012,0.029558,0.030827,0.016885,CG+GR+DC+T+BP with AStarand Decomp,scens/den312d-even-20.scen:,20,20
0.031615,8,14,3498,12464,1186,1186,1186,1186,2,2,0,2,2,0,0,4,0,0.003206,8e-06,0.000173,6.6e-05,1e-06,0,0.000658,9e-06,0.000499,0.003799,0.003919,0.017645,WDG+GR+GC+T+BP with AStarand Decomp,scens/den312d-even-24.scen:,20,18
0.039545,6,11,3623,13042,1186,1186,1180,1186,3,1,0,2,2,0,0,27,0,0.028255,6.1e-05,0.000156,0.00043,0.000565,0,0.003398,9e-06,0.000474,0.00385,0.00399,0.010875,WDG+GR+GC+T+BP with AStar,scens/den312d-even-24.scen:,20,0
0.217884,10,20,10961,35604,2448,2448,2448,2448,5,0,1,6,2,0,0,0,0,0,0,0.000803,0,0,0,0,3.4e-05,0.001208,0.011877,0.012398,0.037856,WDG+GR+GC+T+BP with AStarand Decomp,scens/den312d-even-25.scen:,35,23
0.057213,14,29,21400,48506,1250,1250,1243,1246,1,6,1,7,0,0,0,0,0,0.000387,0.000111,0.000319,0.000581,0.014464,0,0.010398,2.3e-05,0.000702,0.02589,0.027187,0.010622,CG+GR+DC+T+BP with AStar,scens/den312d-even-20.scen:,20,0
0.018256,5,10,2726,10245,1082,1082,1082,1082,1,3,1,0,0,0,0,0,0,0,0,0.00018,0,0,0,0,3.2e-05,0.000292,0.002702,0.002798,0.02116,WDG+GR+GC+T+BP with AStarand Decomp,scens/den312d-even-8.scen:,20,15
0.25423,14,27,27489,72591,2925,2925,2897,2912,15,3,0,6,4,0,0,108,0,0.189921,0.000173,0.0011,0.001305,0.008224,0,0.014457,4e-05,0.002875,0.030383,0.031441,0.024204,WDG+GR+DC+T+BP with AStar,scens/den312d-even-21.scen:,45,0
0.020575,8,16,7961,24064,1456,1456,1456,1456,1,0,1,6,0,0,0,0,0,0,0,0.000223,0,0,0,0,1.7e-05,0.000424,0.007926,0.008243,0.021531,CG+GR+DC+T+BP with AStarand Decomp,scens/den312d-even-25.scen:,20,19
0.309101,68,134,49996,142108,1776,1776,1769,1775,10,51,11,4,0,0,0,34,1,0.043925,6.9e-05,0.001396,0.004175,0.00157,0,0.003964,0.000733,0.006577,0.069568,0.071298,0.027544,WDG+GR+DC+T+BP with AStarand Decomp,scens/den312d-even-6.scen:,30,17
0.278172,233,465,147222,425384,1870,1870,1857,1862,69,123,0,108,1,0,0,0,0,0.004206,0.001584,0.00466,0.00715,0.040979,0,0.030397,0.000393,0.016466,0.179857,0.185439,0.012913,CG+GR+GC+T+BP with AStar,scens/den312d-even-18.scen:,25,0
0.036652,10,18,4076,14338,1082,1082,1079,1081,4,6,2,0,0,0,0,23,0,0.01176,2.1e-05,0.000193,0.001537,0.000393,0,0.001053,4.5e-05,0.000615,0.004431,0.004576,0.016541,WDG+GR+GC+T+BP with AStarand Decomp,scens/den312d-even-8.scen:,20,17
0.028453,12,22,9556,28651,1456,1456,1456,1456,2,1,0,8,1,0,0,0,0,1.5e-05,7e-06,0.000281,0,0,0,0.00033,1.4e-05,0.000843,0.011717,0.012071,0.018875,CG+GR+DC+T+BP with AStarand Decomp,scens/den312d-even-25.scen:,20,17
0.012481,5,9,2945,11071,1082,1082,1079,1081,4,2,1,1,0,0,0,17,0,0.006981,2.1e-05,8.9e-05,0.00011,0.000308,0,0.000815,1.3e-05,0.000269,0.00181,0.001884,0.005955,WDG+GR+GC+T+BP with AStar,scens/den312d-even-8.scen:,20,0
0.248002,154,308,123840,332167,2468,2468,2468,2468,37,40,4,84,25,0,0,0,0,0,0,0.004772,0,0,0,0,0.000303,0.012776,0.159443,0.164594,0.0426,CG+GR+GC+T+BP with AStarand Decomp,scens/den312d-even-19.scen:,40,20
0.008328,3,6,3464,12370,1373,1373,1373,1373,3,1,0,1,0,0,0,0,0,0,0,0.000221,0,0,0,0,6e-06,0.000223,0.002989,0.003112,0.025242,CG+GR+GC+T+BP with AStarand Decomp,scens/den312d-even-17.scen:,25,15
0.021422,8,15,7961,24064,1456,1456,1449,1453,1,0,1,6,0,0,0,0,0,0.000147,0.000103,0.000194,0.000359,0.004646,0,0.002966,2.2e-05,0.0005,0.00864,0.008996,0.010471,CG+GR+DC+T+BP with AStar,scens/den312d-even-25.scen:,20,0
0.014032,5,10,4969,17581,1373,1373,1373,1373,8,1,0,2,1,0,0,0,0,5e-06,9e-06,0.000267,9e-05,4e-06,0,0.002563,1.1e-05,0.00057,0.006105,0.006388,0.022728,CG+GR+GC+T+BP with AStarand Decomp,scens/den312d-even-17.scen:,25,15
0.025741,4,8,4223,14972,1414,1414,1414,1414,3,0,0,2,1,0,0,0,0,0,0,0.000178,0,0,0,0,4e-06,0.000329,0.003502,0.003616,0.019697,WDG+GR+GC+T+BP with AStarand Decomp,scens/den312d-even-18.scen:,20,14
0.012363,3,8,5411,14566,1261,1261,1261,1261,0,1,0,1,1,0,0,0,0,0,0,0.000187,0,0,0,0,4e-06,0.000339,0.005546,0.005598,0.020754,CG+GR+DC+T+BP with AStarand Decomp,scens/den312d-even-1.scen:,20,17
0.006781,2,3,2631,10109,1373,1373,1371,1372,2,0,0,1,0,0,0,0,0,4.6e-05,1.1e-05,0.000113,0,0.000479,0,0.001127,1e-06,9.1e-05,0.001654,0.001722,0.01323,CG+GR+GC+T+BP with AStar,scens/den312d-even-17.scen:,25,0
0.037197,13,24,7980,25888,1414,1414,1414,1414,9,4,0,6,1,0,0,6,0,0.002935,5e-06,0.000192,6.1e-05,1e-06,0,0.00108,1.1e-05,0.000779,0.006061,0.006249,0.010554,WDG+GR+GC+T+BP with AStarand Decomp,scens/den312d-even-18.scen:,20,11
0.031011,9,18,12265,29844,1261,1261,1256,1257,4,3,0,2,3,0,0,0,0,0.000133,5e-05,0.000311,0.000377,0.00206,0,0.005789,1.7e-05,0.00108,0.015775,0.015976,0.018494,CG+GR+DC+T+BP with AStarand Decomp,scens/den312d-even-1.scen:,20,19
